siteID,Anaplasma phagocytophilum,Babesia microti,Borrelia burgdorferi sensu lato,Borrelia lonestari,Borrelia mayonii,Borrelia miyamotoi,Borrelia sp.,Ehrlichia chaffeensis,Ehrlichia ewingii,Ehrlichia muris-like,Francisella tularensis,Ixodes pacificus,Rickettsia rickettsii,Borrelia burgdorferi,field_domain_id,field_longitude,field_latitude,numTests,domainID,mean_density
BLAN,0.04639175257731959,0,0.24550898203592814,0,0,0.017964071856287425,0.22164948453608246,0,0,0,0,0,0,0,D02,-78.041788,39.033698,1552,2,0.029702566986852478
DELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D08,-87.803877,32.541727,104,8,0.009523809523809525
HARV,0.03896103896103896,0.04155844155844156,0.2649350649350649,0,0.01038961038961039,0.007792207792207792,0.2701298701298701,0,0,0.005194805194805195,0,0,0,0,D01,-72.17265,42.53691,3087,1,0.0197764717974437
KONA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D06,-96.612935,39.110446,120,6,0
KONZ,0,0,0,0.008620689655172414,0,0,0.008620689655172414,0.008620689655172414,0,0,0,0,0,0,D06,-96.563075,39.100774,2784,6,0
LENO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D08,-88.161181,31.853861,568,8,0.00856510238458704
MLBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D07,-80.524847,37.378314,8,7,0.00859375
OAES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D11,-99.058779,35.410599,32,11,0.006436258278145696
ORNL,0,0,0.04,0.013451029844472467,0,0,0.014669926650366748,0.0012610340479192938,0.0037831021437578815,0,0,0,0,0,D07,-84.282588,35.964128,19632,7,0.0105743318281496
OSBS,5.00751126690035e-4,0,0,0.006012024048096192,0,0,0.006009013520280421,0.009018036072144289,0.004008016032064128,0,0,0,0,0,D03,-81.993431,29.689282,15976,3,0.02741736073392816
SCBI,0.01529051987767584,0,0.13366336633663367,0.004,0,0.012376237623762377,0.09021406727828746,0,0.004,0,0,0,0,0,D02,-78.139494,38.892925,5232,2,0.02815038874329757
SERC,0.010901162790697675,0,0.2222222222222222,0.01049317943336831,0,0.028368794326241134,0.08357558139534883,0.00944386149003148,0.007345225603357817,0,0,0,0,0,D02,-76.560014,38.890131,11008,2,0.03533343846073583
STEI,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,D05,-89.58637,45.50894,24,5,0.008146276580967188
TALL,7.097232079489e-4,0,0,0.0042583392476933995,0,0,0.0042583392476933995,7.097232079489e-4,0.0021291696238466998,0,0,0,0,0,D08,-87.393259,32.95047,11272,8,0.007188121183519957
TREE,0.043593130779392336,0.05680317040951123,0.1809775429326288,0,0.011889035667107,0.010568031704095112,0.18758256274768825,0,0,0.009247027741083224,0,0,0,0,D05,-89.58571,45.49369,6056,5,0.03227253349017354
UKFS,0,0,0,0.0033500837520938024,0,0,0.0033500837520938024,0.006141820212171971,0.006700167504187605,0,0,0,0,0,D06,-95.19215,39.040431,14328,6,0.00625
